name,initial_size,mode,consistent_join,causally_ordered,init_connected,latency_ms
sq-c-o-topic,1,single-queue,true,true,true,1243.000000
sq-c-o-topic,1,single-queue,true,true,true,1238.000000
sq-c-o-topic,1,single-queue,true,true,true,1224.000000
sq-c-o-topic,2,single-queue,true,true,true,1229.000000
sq-c-o-topic,2,single-queue,true,true,true,1228.000000
sq-c-o-topic,2,single-queue,true,true,true,1243.000000
sq-c-o-topic,2,single-queue,true,true,false,2211.000000
sq-c-o-topic,2,single-queue,true,true,false,2208.000000
sq-c-o-topic,2,single-queue,true,true,false,2206.000000
sq-c-o-topic,4,single-queue,true,true,true,2516.000000
sq-c-o-topic,4,single-queue,true,true,true,2523.000000
sq-c-o-topic,4,single-queue,true,true,true,2513.000000
sq-c-o-topic,4,single-queue,true,true,false,4710.000000
sq-c-o-topic,4,single-queue,true,true,false,4725.000000
sq-c-o-topic,4,single-queue,true,true,false,4705.000000
sq-c-o-topic,8,single-queue,true,true,true,2538.000000
sq-c-o-topic,8,single-queue,true,true,true,2551.000000
sq-c-o-topic,8,single-queue,true,true,true,2548.000000
sq-c-o-topic,8,single-queue,true,true,false,4746.000000
sq-c-o-topic,8,single-queue,true,true,false,4746.000000
sq-c-o-topic,8,single-queue,true,true,false,4752.000000
sq-c-o-topic,16,single-queue,true,true,true,2703.000000
sq-c-o-topic,16,single-queue,true,true,true,2721.000000
sq-c-o-topic,16,single-queue,true,true,true,2721.000000
sq-c-o-topic,16,single-queue,true,true,false,4945.000000
sq-c-o-topic,16,single-queue,true,true,false,4913.000000
sq-c-o-topic,16,single-queue,true,true,false,4911.000000
sq-c-o-topic,32,single-queue,true,true,true,2676.000000
sq-c-o-topic,32,single-queue,true,true,true,2656.000000
sq-c-o-topic,32,single-queue,true,true,true,2699.000000
sq-c-o-topic,32,single-queue,true,true,false,4853.000000
sq-c-o-topic,32,single-queue,true,true,false,4869.000000
sq-c-o-topic,32,single-queue,true,true,false,4930.000000
sq-c-o-topic,64,single-queue,true,true,true,3192.000000
sq-c-o-topic,64,single-queue,true,true,true,3194.000000
sq-c-o-topic,64,single-queue,true,true,true,3170.000000
sq-c-o-topic,64,single-queue,true,true,false,5388.000000
sq-c-o-topic,64,single-queue,true,true,false,5375.000000
sq-c-o-topic,64,single-queue,true,true,false,5396.000000
