name,initial_size,batch_size,ping_ms,success_rate,latency_ms
sq-c-o-topic,1,1,74,100.0,150.000000
sq-c-o-topic,1,1,74,100.0,150.000000
sq-c-o-topic,1,1,74,100.0,149.000000
sq-c-o-topic,1,10,74,100.0,151.000000
sq-c-o-topic,1,10,74,100.0,151.000000
sq-c-o-topic,1,10,74,100.0,151.000000
sq-c-o-topic,1,50,69,100.0,431.000000
sq-c-o-topic,1,50,69,100.0,423.000000
sq-c-o-topic,1,50,69,100.0,422.000000
sq-c-o-topic,1,100,69,100.0,428.000000
sq-c-o-topic,1,100,69,100.0,429.000000
sq-c-o-topic,1,100,69,100.0,429.000000
mq-c-o-topic,1,1,70,100.0,142.000000
mq-c-o-topic,1,1,70,100.0,142.000000
mq-c-o-topic,1,1,70,100.0,142.000000
mq-c-o-topic,1,10,70,100.0,144.000000
mq-c-o-topic,1,10,70,100.0,143.000000
mq-c-o-topic,1,10,71,100.0,143.000000
mq-c-o-topic,1,50,70,100.0,428.000000
mq-c-o-topic,1,50,70,100.0,426.000000
mq-c-o-topic,1,50,71,100.0,424.000000
mq-c-o-topic,1,100,70,100.0,438.000000
mq-c-o-topic,1,100,71,100.0,433.000000
mq-c-o-topic,1,100,77,100.0,472.000000
sq-c-o-topic,2,1,77,100.0,155.000000
sq-c-o-topic,2,1,77,100.0,154.000000
sq-c-o-topic,2,1,76,100.0,155.000000
sq-c-o-topic,2,10,76,100.0,309.000000
sq-c-o-topic,2,10,77,100.0,308.000000
sq-c-o-topic,2,10,76,100.0,309.000000
sq-c-o-topic,2,50,71,100.0,447.000000
sq-c-o-topic,2,50,72,100.0,446.000000
sq-c-o-topic,2,50,71,100.0,448.000000
sq-c-o-topic,2,100,72,100.0,595.000000
sq-c-o-topic,2,100,71,100.0,597.000000
sq-c-o-topic,2,100,72,100.0,597.000000
mq-c-o-topic,2,1,71,100.0,145.000000
mq-c-o-topic,2,1,73,100.0,149.000000
mq-c-o-topic,2,1,73,100.0,148.000000
mq-c-o-topic,2,10,73,100.0,150.000000
mq-c-o-topic,2,10,73,100.0,149.000000
mq-c-o-topic,2,10,73,100.0,150.000000
mq-c-o-topic,2,50,73,100.0,443.000000
mq-c-o-topic,2,50,73,100.0,440.000000
mq-c-o-topic,2,50,73,100.0,443.000000
mq-c-o-topic,2,100,73,100.0,449.000000
mq-c-o-topic,2,100,73,100.0,452.000000
mq-c-o-topic,2,100,73,100.0,452.000000
sq-c-o-topic,4,1,154,100.0,311.000000
sq-c-o-topic,4,1,154,100.0,310.000000
sq-c-o-topic,4,1,154,100.0,310.000000
sq-c-o-topic,4,10,154,100.0,621.000000
sq-c-o-topic,4,10,154,100.0,622.000000
sq-c-o-topic,4,10,154,100.0,621.000000
sq-c-o-topic,4,50,155,100.0,1243.000000
sq-c-o-topic,4,50,154,100.0,1245.000000
sq-c-o-topic,4,50,154,100.0,1247.000000
sq-c-o-topic,4,100,154,100.0,1560.000000
sq-c-o-topic,4,100,154,100.0,1563.000000
sq-c-o-topic,4,100,154,100.0,1560.000000
mq-c-o-topic,4,1,154,100.0,310.000000
mq-c-o-topic,4,1,154,100.0,310.000000
mq-c-o-topic,4,1,154,100.0,310.000000
mq-c-o-topic,4,10,154,100.0,313.000000
mq-c-o-topic,4,10,154,100.0,313.000000
mq-c-o-topic,4,10,154,100.0,313.000000
mq-c-o-topic,4,50,154,100.0,932.000000
mq-c-o-topic,4,50,154,100.0,932.000000
mq-c-o-topic,4,50,154,100.0,929.000000
mq-c-o-topic,4,100,154,100.0,946.000000
mq-c-o-topic,4,100,154,100.0,946.000000
mq-c-o-topic,4,100,154,100.0,943.000000
sq-c-o-topic,8,1,157,100.0,324.000000
sq-c-o-topic,8,1,157,100.0,317.000000
